R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Frank Mir,0,53 of 89,59%,111 of 152,3 of 6,50%,0,0,7:52,19 of 53,30 of 32,4 of 4,7 of 14,25 of 26,21 of 49,Dan Christison,0,48 of 85,56%,84 of 123,0 of 0,---,1,0,3:12,26 of 59,8 of 12,14 of 14,22 of 46,20 of 33,6 of 6,Red,Heavyweight,0,UFC 61: Bitter Rivals,Decision - Unanimous,3,5:00
Joe Stevenson,0,28 of 57,49%,76 of 109,3 of 6,50%,1,0,5:40,27 of 55,0 of 1,1 of 1,3 of 16,1 of 2,24 of 39,Yves Edwards,1,18 of 52,34%,29 of 63,0 of 0,---,2,0,0:40,13 of 46,4 of 5,1 of 1,15 of 45,1 of 1,2 of 6,Red,Lightweight,0,UFC 61: Bitter Rivals,TKO - Doctor's Stoppage,2,5:00
Hermes Franca,0,46 of 113,40%,71 of 138,3 of 9,33%,1,0,1:22,33 of 99,8 of 8,5 of 6,38 of 100,7 of 11,1 of 2,Joe Jordan,0,20 of 78,25%,31 of 89,0 of 0,---,0,0,1:07,6 of 62,0 of 1,14 of 15,12 of 67,6 of 7,2 of 4,Red,Catch Weight,0,UFC 61: Bitter Rivals,Submission,3,0:47
Jeff Monson,1,18 of 26,69%,25 of 33,0 of 2,0%,0,1,1:04,14 of 22,2 of 2,2 of 2,1 of 4,9 of 13,8 of 9,Anthony Perosh,0,8 of 17,47%,10 of 19,0 of 0,---,0,0,0:09,3 of 12,3 of 3,2 of 2,4 of 12,4 of 5,0 of 0,Red,Heavyweight,0,UFC 61: Bitter Rivals,KO/TKO,1,2:42
Cheick Kongo,0,24 of 28,85%,33 of 37,1 of 1,100%,0,0,0:30,15 of 19,7 of 7,2 of 2,1 of 2,20 of 22,3 of 4,Gilbert Aldana,0,6 of 8,75%,20 of 23,2 of 3,66%,0,0,2:55,5 of 7,1 of 1,0 of 0,0 of 0,0 of 0,6 of 8,Red,Heavyweight,0,UFC 61: Bitter Rivals,TKO - Doctor's Stoppage,1,4:13
Drew Fickett,0,18 of 35,51%,70 of 92,1 of 1,100%,2,1,0:36,11 of 28,4 of 4,3 of 3,9 of 23,3 of 4,6 of 8,Kurt Pellegrino,0,25 of 47,53%,84 of 114,5 of 9,55%,0,0,7:15,13 of 33,10 of 11,2 of 3,5 of 19,7 of 11,13 of 17,Red,Welterweight,0,UFC 61: Bitter Rivals,Submission,3,1:20
Jonathan Goulet,0,18 of 34,52%,65 of 87,6 of 9,66%,0,1,11:33,14 of 28,3 of 4,1 of 2,2 of 5,0 of 0,16 of 29,Luke Cummo,2,13 of 21,61%,30 of 40,0 of 0,---,3,0,1:55,9 of 17,3 of 3,1 of 1,6 of 9,4 of 6,3 of 6,Red,Welterweight,0,UFC Fight Night 5,Decision - Majority,3,5:00
Anderson Silva,2,17 of 20,85%,17 of 20,0 of 0,---,0,0,0:09,17 of 20,0 of 0,0 of 0,13 of 14,1 of 1,3 of 5,Chris Leben,0,1 of 8,12%,1 of 8,0 of 0,---,0,0,0:00,1 of 8,0 of 0,0 of 0,1 of 8,0 of 0,0 of 0,Red,Middleweight,0,UFC Fight Night 5,KO/TKO,1,0:49
Rashad Evans,0,17 of 37,45%,48 of 68,7 of 12,58%,0,0,10:55,12 of 32,5 of 5,0 of 0,3 of 12,1 of 1,13 of 24,Stephan Bonnar,0,12 of 36,33%,52 of 78,0 of 0,---,2,0,0:04,7 of 28,4 of 6,1 of 2,7 of 30,3 of 4,2 of 2,Red,Light Heavyweight,0,UFC Fight Night 5,Decision - Majority,3,5:00
Mark Hominick,0,43 of 158,27%,43 of 158,0 of 0,---,0,0,0:12,26 of 135,14 of 19,3 of 4,43 of 158,0 of 0,0 of 0,Jorge Gurgel,0,36 of 211,17%,36 of 211,0 of 5,0%,0,0,0:00,14 of 178,1 of 5,21 of 28,36 of 211,0 of 0,0 of 0,Red,Lightweight,0,UFC Fight Night 5,Decision - Unanimous,3,5:00
Josh Koscheck,0,45 of 68,66%,95 of 127,4 of 7,57%,1,1,11:18,29 of 50,16 of 18,0 of 0,6 of 18,0 of 1,39 of 49,Dave Menne,0,13 of 34,38%,21 of 42,1 of 1,100%,5,1,0:30,4 of 20,1 of 2,8 of 12,10 of 29,2 of 3,1 of 2,Red,Welterweight,0,UFC Fight Night 5,Decision - Unanimous,3,5:00
Jason Lambert,0,44 of 59,74%,80 of 99,0 of 0,---,1,0,3:09,31 of 45,9 of 10,4 of 4,0 of 0,8 of 9,36 of 50,Branden Lee Hinkle,0,4 of 6,66%,5 of 7,3 of 5,60%,0,0,1:39,0 of 1,3 of 4,1 of 1,0 of 0,4 of 6,0 of 0,Red,Light Heavyweight,0,UFC Fight Night 5,KO/TKO,1,5:00
Jon Fitch,1,51 of 72,70%,104 of 129,3 of 4,75%,2,0,8:46,43 of 63,6 of 6,2 of 3,1 of 3,7 of 7,43 of 62,Thiago Alves,0,1 of 1,100%,2 of 2,1 of 1,100%,3,0,0:27,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,Red,Welterweight,0,UFC Fight Night 5,KO/TKO,2,4:37
Rob MacDonald,0,10 of 17,58%,14 of 23,4 of 4,100%,3,0,2:48,9 of 16,0 of 0,1 of 1,1 of 4,0 of 0,9 of 13,Kristian Rothaermel,0,3 of 6,50%,16 of 19,0 of 3,0%,0,0,0:00,1 of 3,0 of 1,2 of 2,2 of 4,1 of 2,0 of 0,Red,Light Heavyweight,0,UFC Fight Night 5,Submission,1,4:01
Jorge Santiago,1,9 of 15,60%,14 of 20,1 of 1,100%,0,0,1:10,8 of 14,1 of 1,0 of 0,1 of 2,3 of 3,5 of 10,Justin Levens,0,0 of 6,0%,1 of 7,0 of 1,0%,0,0,0:10,0 of 5,0 of 1,0 of 0,0 of 4,0 of 2,0 of 0,Red,Middleweight,0,UFC Fight Night 5,KO/TKO,1,2:13
Kenny Florian,0,5 of 8,62%,19 of 22,1 of 2,50%,1,0,1:37,5 of 8,0 of 0,0 of 0,0 of 0,0 of 0,5 of 8,Sam Stout,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0,Red,Lightweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Submission,1,1:46
Michael Bisping,2,41 of 61,67%,52 of 72,4 of 5,80%,4,0,5:29,25 of 43,13 of 14,3 of 4,9 of 17,19 of 26,13 of 18,Josh Haynes,0,8 of 22,36%,16 of 30,0 of 1,0%,0,1,0:53,5 of 19,3 of 3,0 of 0,3 of 12,5 of 8,0 of 2,Red,3 Light Heavyweight,1,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,KO/TKO,2,4:14
Kendall Grove,0,25 of 39,64%,46 of 61,0 of 0,---,6,2,3:25,12 of 25,10 of 10,3 of 4,5 of 12,11 of 14,9 of 13,Ed Herman,0,33 of 57,57%,68 of 94,5 of 10,50%,2,1,9:45,20 of 42,13 of 15,0 of 0,3 of 13,2 of 3,28 of 41,Red,3 Middleweight,1,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Decision - Unanimous,3,5:00
Keith Jardine,0,67 of 205,32%,71 of 210,1 of 1,100%,0,0,0:33,41 of 175,4 of 5,22 of 25,61 of 186,1 of 6,5 of 13,Wilson Gouveia,0,48 of 115,41%,51 of 118,1 of 2,50%,0,0,0:29,21 of 85,1 of 1,26 of 29,46 of 110,0 of 3,2 of 2,Red,Light Heavyweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Decision - Unanimous,3,5:00
Rory Singer,0,2 of 4,50%,2 of 4,0 of 0,---,1,0,0:00,1 of 3,1 of 1,0 of 0,2 of 4,0 of 0,0 of 0,Ross Pointon,1,4 of 20,20%,7 of 23,0 of 0,---,0,0,0:20,4 of 19,0 of 0,0 of 1,4 of 18,0 of 0,0 of 2,Red,Middleweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Submission,1,0:44
Kalib Starnes,0,21 of 29,72%,25 of 33,1 of 2,50%,1,0,1:41,10 of 17,11 of 12,0 of 0,2 of 5,5 of 5,14 of 19,Danny Abbadi,0,3 of 9,33%,6 of 12,0 of 0,---,0,0,0:00,2 of 8,1 of 1,0 of 0,1 of 5,2 of 4,0 of 0,Red,Middleweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Submission,1,2:56
Luigi Fioravanti,1,11 of 31,35%,19 of 41,1 of 1,100%,0,1,0:47,7 of 22,3 of 7,1 of 2,4 of 12,5 of 17,2 of 2,Solomon Hutcherson,0,11 of 28,39%,25 of 44,1 of 1,100%,0,1,1:39,5 of 18,5 of 9,1 of 1,5 of 17,6 of 11,0 of 0,Red,Middleweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,KO/TKO,1,4:15
Matt Hamill,0,33 of 48,68%,93 of 117,1 of 1,100%,0,0,2:55,30 of 45,1 of 1,2 of 2,9 of 18,16 of 19,8 of 11,Jesse Forbes,0,9 of 21,42%,16 of 28,0 of 0,---,0,0,0:00,4 of 15,3 of 4,2 of 2,8 of 19,1 of 2,0 of 0,Red,Light Heavyweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,KO/TKO,1,4:47
Mike Nickels,0,22 of 37,59%,41 of 56,3 of 3,100%,1,0,2:36,12 of 23,10 of 14,0 of 0,1 of 4,8 of 14,13 of 19,Wes Combs,0,4 of 12,33%,17 of 32,0 of 0,---,0,0,0:01,3 of 9,0 of 2,1 of 1,2 of 7,2 of 5,0 of 0,Red,Light Heavyweight,0,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Submission,1,3:10
Matt Hughes,0,32 of 40,80%,33 of 41,1 of 1,100%,1,0,3:26,22 of 29,8 of 9,2 of 2,3 of 4,1 of 1,28 of 35,Royce Gracie,0,7 of 11,63%,14 of 18,0 of 0,---,0,0,0:00,0 of 3,2 of 2,5 of 6,5 of 8,2 of 3,0 of 0,Red,Catch Weight,0,UFC 60: Hughes vs Gracie,KO/TKO,1,4:39
Dean Lister,0,1 of 2,50%,6 of 8,0 of 1,0%,2,0,0:00,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0,Alessio Sakara,0,1 of 3,33%,4 of 6,0 of 0,---,0,0,1:50,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC 60: Hughes vs Gracie,Submission,1,2:20
Diego Sanchez,0,9 of 67,13%,25 of 87,1 of 16,6%,0,0,4:22,8 of 62,1 of 5,0 of 0,7 of 64,2 of 3,0 of 0,John Alessio,0,17 of 57,29%,23 of 63,0 of 0,---,1,0,0:00,15 of 54,0 of 1,2 of 2,16 of 55,1 of 2,0 of 0,Red,Welterweight,0,UFC 60: Hughes vs Gracie,Decision - Unanimous,3,5:00
Brandon Vera,0,8 of 29,27%,8 of 29,0 of 0,---,1,0,0:00,3 of 19,2 of 6,3 of 4,8 of 29,0 of 0,0 of 0,Assuerio Silva,0,9 of 17,52%,11 of 19,1 of 1,100%,0,0,0:35,1 of 9,5 of 5,3 of 3,6 of 14,1 of 1,2 of 2,Red,Heavyweight,0,UFC 60: Hughes vs Gracie,Submission,1,2:39
Mike Swick,0,5 of 12,41%,6 of 13,0 of 0,---,1,0,0:10,1 of 7,2 of 2,2 of 3,2 of 9,3 of 3,0 of 0,Joe Riggs,0,1 of 4,25%,2 of 5,0 of 2,0%,0,0,0:27,0 of 3,0 of 0,1 of 1,0 of 3,1 of 1,0 of 0,Red,Middleweight,0,UFC 60: Hughes vs Gracie,Submission,1,2:19
Jeremy Horn,0,3 of 5,60%,5 of 7,0 of 0,---,4,0,0:00,3 of 5,0 of 0,0 of 0,1 of 3,0 of 0,2 of 2,Chael Sonnen,0,6 of 18,33%,34 of 52,3 of 3,100%,0,0,5:47,5 of 17,1 of 1,0 of 0,1 of 2,0 of 0,5 of 16,Red,Middleweight,0,UFC 60: Hughes vs Gracie,Submission,2,1:17
Spencer Fisher,1,27 of 39,69%,44 of 58,0 of 0,---,0,0,1:58,10 of 20,12 of 13,5 of 6,6 of 9,14 of 19,7 of 11,Matt Wiman,0,10 of 19,52%,29 of 42,1 of 4,25%,4,0,3:24,7 of 14,2 of 4,1 of 1,1 of 8,4 of 5,5 of 6,Red,Lightweight,0,UFC 60: Hughes vs Gracie,KO/TKO,2,1:43
Gabriel Gonzaga,1,16 of 30,53%,34 of 50,3 of 4,75%,0,0,2:23,11 of 25,3 of 3,2 of 2,8 of 19,4 of 4,4 of 7,Fabiano Scherner,0,8 of 25,32%,24 of 41,0 of 1,0%,0,1,0:38,6 of 20,2 of 5,0 of 0,5 of 14,3 of 10,0 of 1,Red,Heavyweight,0,UFC 60: Hughes vs Gracie,KO/TKO,2,0:24
Melvin Guillard,1,10 of 28,35%,10 of 28,0 of 0,---,0,0,0:02,7 of 24,2 of 2,1 of 2,6 of 20,4 of 8,0 of 0,Rick Davis,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,2 of 3,2 of 5,1 of 2,5 of 10,0 of 0,0 of 0,Red,Lightweight,0,UFC 60: Hughes vs Gracie,KO/TKO,1,1:37
Tim Sylvia,1,13 of 30,43%,13 of 30,0 of 0,---,0,0,0:04,13 of 30,0 of 0,0 of 0,7 of 24,0 of 0,6 of 6,Andrei Arlovski,1,11 of 24,45%,12 of 26,0 of 0,---,0,0,0:07,7 of 18,3 of 5,1 of 1,9 of 20,2 of 4,0 of 0,Red,Heavyweight,1,UFC 59: Reality Check,KO/TKO,1,2:43
Sean Sherk,0,39 of 155,25%,80 of 198,2 of 19,10%,0,1,3:47,30 of 146,5 of 5,4 of 4,17 of 90,22 of 65,0 of 0,Nick Diaz,0,57 of 136,41%,131 of 210,1 of 1,100%,3,1,1:23,47 of 125,9 of 10,1 of 1,45 of 116,11 of 18,1 of 2,Red,Welterweight,0,UFC 59: Reality Check,Decision - Unanimous,3,5:00
Tito Ortiz,0,61 of 125,48%,94 of 163,3 of 12,25%,0,0,5:01,57 of 121,2 of 2,2 of 2,35 of 77,0 of 0,26 of 48,Forrest Griffin,0,58 of 170,34%,81 of 200,0 of 0,---,0,0,0:14,52 of 158,2 of 3,4 of 9,58 of 170,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC 59: Reality Check,Decision - Split,3,5:00
Evan Tanner,0,10 of 17,58%,16 of 24,1 of 2,50%,2,0,2:12,6 of 11,2 of 3,2 of 3,1 of 1,3 of 7,6 of 9,Justin Levens,0,2 of 4,50%,6 of 8,0 of 0,---,1,0,0:19,0 of 1,1 of 2,1 of 1,1 of 2,1 of 2,0 of 0,Red,Middleweight,0,UFC 59: Reality Check,Submission,1,3:14
Jeff Monson,0,32 of 110,29%,154 of 240,2 of 2,100%,0,0,6:09,16 of 93,11 of 12,5 of 5,16 of 89,10 of 11,6 of 10,Marcio Cruz,0,40 of 106,37%,51 of 118,0 of 5,0%,0,0,1:09,14 of 79,5 of 5,21 of 22,34 of 98,6 of 8,0 of 0,Red,Heavyweight,0,UFC 59: Reality Check,Decision - Split,3,5:00
Karo Parisyan,0,18 of 30,60%,23 of 41,2 of 3,66%,0,0,4:03,16 of 28,2 of 2,0 of 0,1 of 2,0 of 0,17 of 28,Nick Thompson,0,2 of 7,28%,4 of 9,1 of 1,100%,0,0,0:10,1 of 6,0 of 0,1 of 1,1 of 2,1 of 3,0 of 2,Red,Welterweight,0,UFC 59: Reality Check,KO/TKO,1,4:44
David Terrell,0,10 of 14,71%,21 of 25,1 of 4,25%,2,0,1:15,6 of 9,1 of 1,3 of 4,1 of 3,4 of 4,5 of 7,Scott Smith,0,3 of 6,50%,4 of 7,0 of 0,---,0,0,1:23,1 of 3,1 of 1,1 of 2,2 of 3,0 of 0,1 of 3,Red,Middleweight,0,UFC 59: Reality Check,Submission,1,3:08
Jason Lambert,0,31 of 39,79%,66 of 75,0 of 2,0%,0,0,2:47,16 of 24,9 of 9,6 of 6,0 of 6,17 of 18,14 of 15,Terry Martin,0,15 of 26,57%,29 of 41,1 of 4,25%,0,0,3:35,6 of 17,1 of 1,8 of 8,2 of 7,9 of 14,4 of 5,Red,Light Heavyweight,0,UFC 59: Reality Check,KO/TKO,2,2:37
Thiago Alves,1,11 of 27,40%,19 of 36,0 of 0,---,0,0,0:12,5 of 17,4 of 5,2 of 5,5 of 19,4 of 6,2 of 2,Derrick Noble,0,18 of 45,40%,26 of 53,0 of 0,---,0,0,0:39,10 of 34,4 of 6,4 of 5,7 of 27,11 of 18,0 of 0,Red,Welterweight,0,UFC 59: Reality Check,KO/TKO,1,2:54
Stephan Bonnar,1,33 of 93,35%,52 of 113,1 of 6,16%,1,0,3:54,20 of 77,10 of 10,3 of 6,24 of 84,9 of 9,0 of 0,Keith Jardine,0,64 of 118,54%,90 of 146,0 of 1,0%,0,0,0:28,34 of 81,15 of 17,15 of 20,46 of 99,18 of 19,0 of 0,Red,Light Heavyweight,0,UFC Fight Night 4,Decision - Unanimous,3,5:00
Rashad Evans,0,23 of 72,31%,46 of 95,9 of 11,81%,0,0,9:23,19 of 67,4 of 5,0 of 0,17 of 58,5 of 10,1 of 4,Sam Hoger,0,18 of 72,25%,59 of 113,0 of 1,0%,2,0,0:03,8 of 54,9 of 17,1 of 1,14 of 65,4 of 7,0 of 0,Red,Light Heavyweight,0,UFC Fight Night 4,Decision - Split,3,5:00
Josh Neer,1,46 of 126,36%,68 of 150,0 of 0,---,0,0,7:56,46 of 126,0 of 0,0 of 0,12 of 57,1 of 3,33 of 66,Joe Stevenson,0,31 of 56,55%,80 of 117,2 of 2,100%,3,0,2:44,17 of 37,5 of 10,9 of 9,19 of 34,4 of 6,8 of 16,Red,Welterweight,0,UFC Fight Night 4,Decision - Unanimous,3,5:00
Chris Leben,0,36 of 90,40%,200 of 259,5 of 7,71%,0,0,9:33,26 of 68,8 of 18,2 of 4,4 of 17,20 of 51,12 of 22,Luigi Fioravanti,0,20 of 39,51%,41 of 60,0 of 5,0%,0,0,2:01,9 of 27,3 of 4,8 of 8,5 of 11,15 of 28,0 of 0,Red,Middleweight,0,UFC Fight Night 4,Decision - Unanimous,3,5:00
Luke Cummo,0,43 of 108,39%,97 of 165,3 of 4,75%,3,0,4:05,18 of 73,13 of 23,12 of 12,22 of 69,13 of 25,8 of 14,Jason Von Flue,0,17 of 57,29%,29 of 69,2 of 9,22%,1,0,4:07,9 of 46,5 of 8,3 of 3,10 of 43,7 of 12,0 of 2,Red,Welterweight,0,UFC Fight Night 4,Decision - Unanimous,3,5:00
Jon Fitch,1,25 of 50,50%,122 of 149,3 of 4,75%,1,0,5:12,18 of 41,4 of 6,3 of 3,7 of 14,9 of 18,9 of 18,Joshua Burkman,0,20 of 35,57%,20 of 35,1 of 3,33%,1,0,2:54,3 of 17,0 of 0,17 of 18,4 of 16,16 of 19,0 of 0,Red,Welterweight,0,UFC Fight Night 4,Submission,2,4:57
Dan Christison,0,73 of 148,49%,91 of 167,0 of 0,---,1,1,1:48,39 of 110,10 of 12,24 of 26,56 of 117,16 of 28,1 of 3,Brad Imes,0,58 of 157,36%,80 of 183,2 of 2,100%,0,1,3:38,48 of 143,8 of 12,2 of 2,31 of 97,16 of 36,11 of 24,Red,Heavyweight,0,UFC Fight Night 4,Submission,3,3:37
Josh Koscheck,0,2 of 11,18%,6 of 15,2 of 2,100%,1,0,2:45,2 of 9,0 of 0,0 of 2,0 of 8,0 of 0,2 of 3,Ansar Chalangov,0,2 of 4,50%,2 of 4,0 of 0,---,1,0,0:08,2 of 4,0 of 0,0 of 0,2 of 4,0 of 0,0 of 0,Red,Welterweight,0,UFC Fight Night 4,Submission,1,3:29
Chael Sonnen,0,25 of 59,42%,109 of 174,7 of 17,41%,0,0,11:02,17 of 47,6 of 10,2 of 2,3 of 11,5 of 9,17 of 39,Trevor Prangley,0,7 of 22,31%,29 of 45,0 of 2,0%,2,0,1:10,5 of 20,2 of 2,0 of 0,5 of 17,1 of 2,1 of 3,Red,Middleweight,0,UFC Fight Night 4,Decision - Unanimous,3,5:00
Rich Franklin,2,127 of 244,52%,211 of 339,5 of 6,83%,0,1,8:37,82 of 190,42 of 51,3 of 3,74 of 172,32 of 46,21 of 26,David Loiseau,1,21 of 72,29%,26 of 78,1 of 1,100%,0,0,0:15,11 of 57,10 of 15,0 of 0,17 of 63,4 of 9,0 of 0,Red,Middleweight,1,UFC 58: USA vs Canada,Decision - Unanimous,5,5:00
Mike Swick,0,13 of 22,59%,13 of 22,0 of 0,---,1,0,0:49,4 of 12,0 of 0,9 of 10,4 of 12,9 of 10,0 of 0,Steve Vigneault,0,6 of 13,46%,8 of 15,0 of 1,0%,0,0,0:13,1 of 7,1 of 2,4 of 4,1 of 7,5 of 6,0 of 0,Red,Middleweight,0,UFC 58: USA vs Canada,Submission,1,2:09
Georges St-Pierre,0,59 of 135,43%,135 of 212,4 of 5,80%,0,0,7:25,38 of 102,7 of 10,14 of 23,46 of 108,7 of 18,6 of 9,BJ Penn,0,37 of 85,43%,101 of 156,1 of 1,100%,1,0,0:18,28 of 76,8 of 8,1 of 1,28 of 71,9 of 14,0 of 0,Red,Welterweight,0,UFC 58: USA vs Canada,Decision - Split,3,5:00
Nate Marquardt,0,56 of 103,54%,71 of 118,5 of 5,100%,2,1,6:45,36 of 80,7 of 10,13 of 13,44 of 82,5 of 12,7 of 9,Joe Doerksen,1,26 of 80,32%,71 of 125,2 of 8,25%,0,0,1:41,19 of 70,5 of 8,2 of 2,21 of 69,2 of 4,3 of 7,Red,Middleweight,0,UFC 58: USA vs Canada,Decision - Unanimous,3,5:00
Mark Hominick,0,22 of 58,37%,31 of 67,0 of 0,---,1,0,0:22,13 of 49,6 of 6,3 of 3,11 of 45,11 of 13,0 of 0,Yves Edwards,0,20 of 74,27%,21 of 75,1 of 2,50%,0,0,1:10,10 of 63,5 of 6,5 of 5,17 of 69,3 of 5,0 of 0,Red,Lightweight,0,UFC 58: USA vs Canada,Submission,2,1:52
Sam Stout,0,62 of 183,33%,76 of 199,0 of 0,---,0,0,1:00,38 of 152,15 of 22,9 of 9,40 of 148,19 of 29,3 of 6,Spencer Fisher,0,53 of 148,35%,77 of 172,4 of 9,44%,3,1,4:19,31 of 116,15 of 24,7 of 8,36 of 116,12 of 18,5 of 14,Red,Lightweight,0,UFC 58: USA vs Canada,Decision - Split,3,5:00
Jason Lambert,1,7 of 16,43%,13 of 24,1 of 2,50%,1,0,1:00,5 of 14,1 of 1,1 of 1,2 of 7,4 of 7,1 of 2,Rob MacDonald,0,3 of 9,33%,3 of 9,0 of 0,---,0,0,0:20,3 of 9,0 of 0,0 of 0,1 of 4,2 of 5,0 of 0,Red,Light Heavyweight,0,UFC 58: USA vs Canada,Submission,1,1:54
Tom Murphy,0,30 of 42,71%,82 of 100,6 of 7,85%,2,0,8:11,30 of 42,0 of 0,0 of 0,0 of 4,4 of 7,26 of 31,Icho Larenas,0,2 of 13,15%,15 of 29,0 of 0,---,0,0,0:00,1 of 11,1 of 1,0 of 1,0 of 9,2 of 4,0 of 0,Red,Heavyweight,0,UFC 58: USA vs Canada,KO/TKO,3,1:59
Chuck Liddell,1,19 of 51,37%,27 of 59,0 of 0,---,0,0,0:00,18 of 49,0 of 1,1 of 1,14 of 46,1 of 1,4 of 4,Randy Couture,0,7 of 24,29%,7 of 24,1 of 3,33%,0,0,0:56,6 of 23,0 of 0,1 of 1,6 of 23,1 of 1,0 of 0,Red,Light Heavyweight,1,UFC 57: Liddell vs Couture 3,KO/TKO,2,1:28
Brandon Vera,1,7 of 10,70%,7 of 10,0 of 0,---,0,0,0:11,3 of 4,2 of 3,2 of 3,4 of 7,2 of 2,1 of 1,Justin Eilers,0,4 of 7,57%,8 of 11,0 of 0,---,0,0,0:35,0 of 3,0 of 0,4 of 4,0 of 3,4 of 4,0 of 0,Red,Heavyweight,0,UFC 57: Liddell vs Couture 3,KO/TKO,1,1:25
Marcio Cruz,0,31 of 44,70%,72 of 87,1 of 2,50%,0,0,3:37,22 of 35,9 of 9,0 of 0,1 of 6,0 of 0,30 of 38,Frank Mir,0,3 of 6,50%,6 of 9,1 of 1,100%,0,0,0:15,0 of 3,3 of 3,0 of 0,0 of 3,2 of 2,1 of 1,Red,Heavyweight,0,UFC 57: Liddell vs Couture 3,KO/TKO,1,4:10
Renato Sobral,0,9 of 12,75%,11 of 14,0 of 1,0%,1,1,1:36,1 of 3,1 of 2,7 of 7,2 of 3,6 of 7,1 of 2,Mike van Arsdale,0,1 of 4,25%,3 of 6,0 of 1,0%,0,0,0:14,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC 57: Liddell vs Couture 3,Submission,1,2:21
Joe Riggs,0,51 of 116,43%,69 of 135,3 of 8,37%,0,0,2:05,42 of 105,9 of 11,0 of 0,28 of 70,21 of 40,2 of 6,Nick Diaz,1,38 of 106,35%,126 of 200,0 of 7,0%,1,0,3:22,23 of 82,10 of 17,5 of 7,15 of 68,21 of 34,2 of 4,Red,Welterweight,0,UFC 57: Liddell vs Couture 3,Decision - Unanimous,3,5:00
Alessio Sakara,0,70 of 146,47%,146 of 234,9 of 9,100%,0,0,12:21,61 of 136,8 of 9,1 of 1,21 of 42,2 of 2,47 of 102,Elvis Sinosic,0,13 of 37,35%,151 of 185,0 of 0,---,0,0,0:12,3 of 25,0 of 0,10 of 12,11 of 35,2 of 2,0 of 0,Red,Light Heavyweight,0,UFC 57: Liddell vs Couture 3,Decision - Unanimous,3,5:00
Paul Buentello,0,49 of 71,69%,67 of 89,1 of 2,50%,1,0,1:57,33 of 53,12 of 14,4 of 4,10 of 20,33 of 45,6 of 6,Gilbert Aldana,0,28 of 54,51%,38 of 65,0 of 2,0%,0,0,1:48,19 of 43,5 of 5,4 of 6,6 of 14,19 of 36,3 of 4,Red,Heavyweight,0,UFC 57: Liddell vs Couture 3,KO/TKO,2,2:27
Jeff Monson,0,10 of 11,90%,28 of 31,1 of 3,33%,1,1,3:01,3 of 4,6 of 6,1 of 1,0 of 0,3 of 4,7 of 7,Branden Lee Hinkle,0,5 of 8,62%,10 of 13,0 of 0,---,1,0,1:13,3 of 6,2 of 2,0 of 0,0 of 3,2 of 2,3 of 3,Red,Heavyweight,0,UFC 57: Liddell vs Couture 3,Submission,1,4:35
Keith Jardine,0,44 of 131,33%,90 of 177,0 of 0,---,0,0,0:00,35 of 120,2 of 3,7 of 8,38 of 115,6 of 16,0 of 0,Mike Whitehead,0,27 of 73,36%,37 of 83,5 of 12,41%,0,0,6:23,15 of 58,8 of 9,4 of 6,22 of 63,3 of 7,2 of 3,Red,Light Heavyweight,0,UFC 57: Liddell vs Couture 3,Decision - Unanimous,3,5:00
Tim Sylvia,0,85 of 224,37%,137 of 276,0 of 0,---,0,0,3:17,51 of 185,21 of 24,13 of 15,69 of 202,14 of 20,2 of 2,Assuerio Silva,0,36 of 79,45%,43 of 86,0 of 5,0%,0,0,1:08,9 of 39,16 of 24,11 of 16,32 of 73,4 of 6,0 of 0,Red,Heavyweight,0,UFC Fight Night 3,Decision - Unanimous,3,5:00
